trial_id,consistency_score
0,-1.2191750120866301e-166
1,-1.3862232657912997e-164
2,-7.7153373239867e-166
3,-1.8850751911444948e-165
4,-4.2898926816544094e-166
5,2.854818769742555e-164
6,2.2757782484650384e-164
7,-1.9717941599332904e-165
8,-2.866725712340391e-166
9,2.358426740144351e-165
10,-5.444889006478497e-159
11,-1.846414560126507e-165
12,-3.1715095013851446e-166
13,-3.8534094795204377e-166
14,1.7152719887116513e-164
15,-6.59250226811285e-165
16,-1.0672236910849342e-161
17,-9.28308893578924e-165
18,3.099021783781559e-164
19,5.445728042818329e-165
20,-1.5483571733357975e-165
21,-2.5492222944226756e-166
22,-6.3591768129036614e-167
23,3.6576791994962393e-166
24,8.972043692284549e-166
25,1.8757466091574763e-165
26,2.8532463880949256e-164
27,-7.708125806559002e-165
28,-1.7460682936669115e-167
29,3.4968408050183447e-165
30,-1.5317172172895462e-165
31,-1.2985565658232868e-166
32,-6.303569766837109e-165
33,-6.831624682836033e-161
34,-7.4663318903849e-161
35,-4.076149789450236e-165
36,3.520454598056864e-165
37,-4.091717094579747e-166
38,2.5648362082408183e-165
39,1.4207813477196458e-165
